Unnamed: 0,Date,Time,Elat,Elon,Dep,Tag,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,y,predicted
1584,2015-08-26,17:47:44.53,39.557,-112.2,-2.0,ex,-0.12,-0.1,0.05,-85.9,-95.7,15.25,12.9,0.09,-0.02,0.23,0.19,-0.01,0.16,0,1
3699,2019-12-17,07:13:46.30,39.413,-110.306,-1.8,mis,-0.23,0.04,0.05,-77.4,-112.7,13.31,12.86,-0.15,-0.17,-0.3,-0.2,,0.35,2,0
1128,2014-09-12,19:45:14.79,40.03,-111.739,2.7,eq,-0.13,0.56,0.51,-51.3,-118.3,14.63,14.62,,0.08,0.01,-0.01,,0.14,1,0
836,2014-03-23,06:03:51.77,40.562,-111.263,13.3,eq,-0.17,0.89,0.57,-128.1,-107.4,13.82,13.75,,0.08,0.08,0.09,,0.07,1,0
7470,2021-09-02,05:43:22.92,39.43,-110.3,-2.0,mis,-0.21,0.19,0.17,-100.8,-111.0,15.31,12.64,0.0,0.31,0.21,-0.01,0.55,0.65,2,0
1280,2015-01-24,15:06:24.93,40.83,-111.384,12.9,eq,-0.13,0.82,0.46,-100.8,-122.1,15.68,14.3,,0.4,0.29,0.41,,-0.12,1,0
2062,2016-09-11,20:52:48.00,40.509,-112.169,-2.0,ex,-0.23,0.15,0.02,-100.0,-127.0,13.67,12.74,0.15,0.19,0.31,0.24,0.38,0.53,0,2
8929,2022-08-10,20:31:24.12,39.43,-110.299,-2.2,mis,-0.25,-0.17,-0.05,-82.0,-119.4,13.79,13.1,0.07,0.1,0.06,0.19,0.32,0.47,2,0
5882,2020-04-29,03:43:41.52,40.711,-112.072,10.0,eq,0.18,0.93,0.6,-95.6,-133.6,14.16,14.8,,0.01,0.01,0.07,,0.13,1,0
2738,2018-01-18,17:12:25.43,40.614,-109.514,-2.0,ex,-0.31,-0.22,-0.38,-108.1,-120.6,14.93,14.15,0.08,0.08,0.17,0.1,0.16,0.07,0,1
3201,2019-02-16,06:41:40.57,40.471,-111.934,4.6,eq,0.12,1.04,0.69,-96.9,-127.7,14.33,14.74,-0.12,-0.03,-0.01,0.07,-0.06,0.07,1,0
1880,2016-04-24,23:12:09.72,40.696,-111.48,10.7,eq,0.29,0.86,0.87,-93.3,-107.7,14.91,13.98,,0.21,0.16,0.25,,0.1,1,0
2260,2017-02-25,05:10:26.28,40.557,-112.048,9.0,eq,0.01,0.71,0.61,-90.9,-103.6,14.79,14.73,,0.03,0.12,0.17,,0.1,1,0
8924,2022-08-10,05:30:15.30,39.426,-110.305,-1.4,mis,-0.51,-0.04,0.09,-59.2,-92.5,13.66,12.93,-0.1,0.11,0.05,,,0.32,2,0
2959,2018-08-18,18:18:26.54,38.982,-111.365,-1.9,mis,-0.54,0.2,-0.06,-77.7,-135.6,12.66,12.7,0.07,0.07,0.01,-0.17,0.25,0.06,2,0
7164,2021-06-26,05:01:33.77,38.983,-111.356,-1.9,mis,-0.74,-0.27,-0.15,-51.8,-120.8,13.42,12.44,,0.0,-0.1,-0.13,,0.24,2,0
